SaleID,Date,CustomerID,ProductID,Quantity,UnitPrice,Discount,SalesRepID,RegionID
S00035,2020-01-22,C002,P004,2,96.12,0.0,SR02,R02
S00036,2020-09-09,C001,P004,6,35.94,0.15,SR01,R01
S00037,2022-01-17,C002,P004,3,15.66,0.1,SR02,R02
S00038,2022-05-06,C003,P001,5,44.63,0.1,SR03,R01
S00039,2024-05-03,C003,P001,9,42.97,0.0,SR03,R03
S00040,2021-04-19,C001,P002,3,52.33,0.05,SR03,R03
S00041,2022-12-18,C004,P003,1,60.43,0.05,SR01,R02
S00042,2021-05-25,C001,P003,5,99.32,0.0,SR01,R03
S00043,2024-09-01,C004,P001,1,78.06,0.1,SR02,R01
S00044,2024-02-08,C002,P004,8,13.23,0.05,SR02,R01
S00045,2021-11-30,C004,P003,7,74.14,0.1,SR01,R02
S00046,2022-09-02,C004,P003,2,84.18,0.1,SR03,R02
S00047,2024-12-11,C002,P001,9,90.61,0.15,SR03,R02
S00048,2020-07-08,C003,P002,5,48.16,0.05,SR01,R01
S00049,2022-08-15,C002,P001,7,38.23,0.1,SR02,R02
S00050,2021-11-17,C001,P001,4,85.54,0.15,SR03,R01
S00051,2022-08-15,C001,P004,1,79.99,0.1,SR01,R01
S00052,2021-07-16,C001,P001,8,58.24,0.0,SR02,R03
S00053,2024-05-09,C001,P004,1,20.61,0.05,SR02,R03
S00054,2023-06-21,C001,P002,3,68.66,0.1,SR03,R02
S00055,2022-04-11,C003,P004,6,15.91,0.05,SR03,R02
S00056,2024-03-08,C003,P002,8,19.03,0.15,SR03,R02
S00057,2023-02-28,C004,P002,8,39.8,0.05,SR03,R02
S00058,2024-02-17,C001,P002,2,43.41,0.1,SR02,R01
S00059,2021-10-08,C002,P001,9,51.58,0.05,SR01,R02
S00060,2020-01-21,C001,P004,4,40.52,0.0,SR02,R03
S00061,2022-04-20,C003,P003,4,13.04,0.0,SR03,R02
S00062,2020-06-15,C001,P001,2,24.17,0.15,SR01,R01
S00063,2023-07-21,C003,P002,1,20.36,0.1,SR02,R03
S00064,2021-01-22,C004,P003,7,48.81,0.05,SR01,R03
S00065,2021-08-23,C004,P001,3,29.09,0.15,SR02,R02
S00066,2020-11-11,C004,P003,4,36.42,0.15,SR01,R03
S00067,2020-01-14,C003,P002,9,52.44,0.1,SR02,R03
S00068,2020-08-29,C001,P003,6,31.2,0.05,SR02,R02
S00069,2022-02-15,C001,P003,1,32.13,0.15,SR03,R02
S00070,2023-10-01,C002,P002,9,84.98,0.15,SR02,R01
S00071,2021-07-18,C003,P003,9,59.33,0.1,SR03,R03
S00072,2022-06-16,C002,P001,5,87.11,0.1,SR02,R02
S00073,2023-09-25,C004,P003,8,56.31,0.15,SR01,R03
S00074,2020-04-01,C001,P004,7,91.83,0.05,SR01,R02
S00075,2023-10-22,C003,P001,8,32.93,0.15,SR03,R01
S00076,2022-08-13,C002,P003,9,65.5,0.0,SR02,R02
S00077,2024-01-18,C002,P004,2,55.29,0.1,SR03,R02
S00078,2023-12-22,C002,P004,5,92.68,0.0,SR01,R01
S00079,2021-05-23,C001,P004,8,47.66,0.05,SR02,R02
S00080,2022-02-14,C001,P003,3,86.93,0.1,SR03,R01
S00081,2020-02-04,C001,P002,6,60.75,0.05,SR01,R03
S00082,2020-07-24,C003,P004,6,73.77,0.0,SR01,R03
S00083,2023-01-09,C001,P002,7,89.82,0.05,SR02,R03
S00084,2024-05-04,C003,P001,3,99.72,0.1,SR02,R02
S00085,2023-11-12,C002,P002,8,75.8,0.0,SR02,R01
S00086,2022-10-22,C002,P002,8,38.31,0.1,SR03,R02
S00087,2022-10-18,C004,P002,9,36.91,0.0,SR03,R02
S00088,2023-11-14,C001,P002,8,37.82,0.15,SR02,R02
S00089,2021-07-19,C002,P002,3,18.81,0.05,SR02,R01
S00090,2023-02-03,C001,P001,6,14.82,0.05,SR02,R02
S00091,2024-11-30,C003,P001,9,62.28,0.1,SR01,R02
S00092,2024-02-09,C002,P002,1,82.95,0.15,SR02,R01
S00093,2021-12-03,C001,P002,3,13.25,0.1,SR03,R01
S00094,2021-02-05,C002,P004,2,61.0,0.1,SR01,R03
S00095,2021-12-30,C002,P001,8,43.46,0.0,SR02,R01
S00096,2024-04-28,C001,P003,6,90.32,0.15,SR03,R03
S00097,2020-06-10,C002,P001,8,23.08,0.0,SR01,R03
S00098,2020-07-20,C002,P003,2,60.71,0.1,SR01,R02
S00099,2022-09-22,C002,P004,6,97.38,0.0,SR03,R02
S00100,2020-09-26,C002,P002,7,41.05,0.0,SR03,R02
S00101,2022-03-26,C003,P004,8,76.76,0.05,SR01,R02
S00102,2023-07-18,C002,P002,9,89.42,0.15,SR03,R02
S00103,2021-03-31,C004,P001,5,26.76,0.05,SR01,R02
S00104,2024-01-25,C002,P002,3,99.33,0.15,SR01,R02
S00105,2024-10-16,C001,P003,2,82.84,0.05,SR01,R03
S00106,2023-06-29,C004,P003,8,22.38,0.1,SR01,R03
S00107,2022-10-13,C003,P004,1,37.98,0.05,SR02,R02
S00108,2024-09-21,C004,P001,6,66.25,0.15,SR03,R02
S00109,2020-10-22,C004,P003,2,89.64,0.15,SR02,R03
S00110,2024-10-14,C004,P004,3,27.54,0.15,SR02,R03
S00111,2021-12-20,C001,P001,8,75.81,0.05,SR02,R01
S00112,2024-11-07,C001,P001,1,34.36,0.0,SR02,R01
S00113,2020-12-03,C001,P004,6,82.49,0.05,SR01,R02
S00114,2022-05-28,C003,P003,3,71.51,0.0,SR01,R02
S00115,2022-12-12,C001,P003,6,57.06,0.05,SR01,R02
S00116,2022-03-02,C001,P004,3,68.49,0.1,SR01,R03
S00117,2020-08-04,C004,P003,8,88.88,0.1,SR02,R02
S00118,2022-02-02,C001,P004,5,44.78,0.05,SR01,R02
S00119,2020-07-06,C002,P003,4,79.23,0.05,SR02,R02
S00120,2021-01-14,C001,P003,9,24.3,0.05,SR01,R01
S00121,2021-05-07,C003,P004,5,73.11,0.1,SR03,R01
S00122,2022-11-30,C003,P004,4,77.56,0.0,SR03,R02
S00123,2023-03-26,C002,P003,8,49.87,0.15,SR03,R03
S00124,2020-01-15,C003,P004,8,81.43,0.0,SR03,R01
S00125,2020-03-05,C003,P003,8,60.14,0.05,SR01,R02
S00126,2021-06-04,C004,P002,4,94.26,0.1,SR03,R01
S00127,2023-09-29,C002,P001,1,20.12,0.15,SR03,R03
S00128,2023-02-26,C004,P001,2,21.77,0.0,SR02,R03
S00129,2021-10-09,C004,P003,4,85.82,0.05,SR03,R03
S00130,2024-02-04,C001,P001,2,85.81,0.1,SR01,R03
S00131,2022-12-22,C002,P003,3,52.41,0.1,SR02,R02
S00132,2023-03-08,C001,P004,9,96.76,0.15,SR01,R03
S00133,2024-03-02,C001,P002,9,71.15,0.0,SR02,R02
S00134,2021-08-15,C004,P001,9,98.46,0.1,SR01,R03
S00135,2021-01-26,C003,P001,7,57.92,0.05,SR03,R02
S00136,2024-08-25,C002,P004,4,28.15,0.05,SR02,R03
S00137,2021-02-22,C003,P002,1,50.0,0.15,SR03,R02
S00138,2020-10-15,C004,P002,3,98.24,0.0,SR01,R01
S00139,2021-01-13,C004,P002,8,43.34,0.1,SR01,R02
S00140,2024-12-01,C004,P004,4,96.13,0.15,SR02,R02
S00141,2024-02-22,C004,P001,2,81.73,0.0,SR01,R03
S00142,2020-08-18,C004,P001,8,49.79,0.0,SR01,R03
S00143,2022-10-14,C004,P002,7,58.77,0.1,SR02,R01
S00144,2020-02-10,C003,P004,9,64.67,0.15,SR03,R03
S00145,2022-11-17,C001,P004,2,69.92,0.15,SR02,R02
S00146,2020-05-14,C003,P004,5,16.9,0.15,SR01,R03
S00147,2020-07-19,C002,P002,6,94.02,0.15,SR01,R03
S00148,2022-02-18,C003,P004,2,63.73,0.0,SR02,R02
S00149,2022-07-18,C004,P002,2,93.8,0.15,SR02,R01
S00150,2022-11-22,C003,P002,4,66.87,0.15,SR03,R03
S00151,2022-12-07,C001,P002,8,48.79,0.1,SR01,R03
S00152,2021-05-17,C002,P003,5,61.02,0.05,SR01,R02
S00153,2021-02-10,C003,P002,9,84.66,0.0,SR03,R01
S00154,2024-05-16,C001,P004,4,39.35,0.1,SR02,R01
S00155,2024-10-17,C003,P003,3,96.08,0.1,SR02,R03
S00156,2022-03-15,C002,P001,8,51.94,0.1,SR03,R02
S00157,2020-04-08,C003,P001,1,96.06,0.0,SR02,R03
S00158,2021-11-14,C004,P004,9,89.27,0.05,SR03,R02
S00159,2021-12-26,C003,P004,4,79.09,0.0,SR02,R02
S00160,2024-04-19,C001,P004,9,52.07,0.15,SR02,R03
S00161,2022-08-18,C003,P004,8,62.83,0.05,SR02,R02
S00162,2024-10-28,C001,P003,3,85.42,0.0,SR03,R03
S00163,2021-09-04,C002,P004,3,58.97,0.0,SR03,R01
S00164,2024-01-25,C003,P002,9,76.44,0.15,SR03,R01
S00165,2021-10-04,C002,P001,3,81.16,0.0,SR01,R03
S00166,2024-11-27,C002,P004,4,56.18,0.05,SR01,R01
S00167,2022-10-25,C003,P002,9,58.26,0.1,SR03,R01
S00168,2023-05-26,C001,P004,4,27.81,0.0,SR01,R01
S00169,2021-05-17,C002,P002,3,32.03,0.0,SR01,R01
S00170,2022-02-05,C002,P003,7,91.44,0.05,SR02,R02
S00171,2021-02-01,C003,P001,6,85.63,0.0,SR02,R03
S00172,2022-05-20,C003,P001,1,10.91,0.1,SR02,R03
S00173,2022-03-05,C003,P003,8,88.24,0.15,SR01,R01
S00174,2021-01-27,C003,P002,1,12.27,0.15,SR01,R03
S00175,2020-07-25,C003,P004,4,51.25,0.15,SR03,R03
S00176,2022-11-04,C004,P002,6,16.07,0.1,SR01,R03
S00177,2024-04-26,C003,P001,6,97.19,0.15,SR01,R02
S00178,2022-06-10,C001,P003,7,97.51,0.05,SR03,R01
S00179,2024-01-24,C002,P003,5,64.98,0.05,SR03,R03
S00180,2024-09-10,C001,P002,5,45.3,0.1,SR03,R02
S00181,2024-05-17,C001,P002,4,56.08,0.1,SR02,R01
S00182,2022-05-13,C004,P003,6,78.61,0.1,SR03,R02
S00183,2022-01-12,C003,P001,7,30.09,0.05,SR02,R02
S00184,2023-06-18,C002,P004,1,49.76,0.1,SR01,R02
S00185,2021-07-17,C001,P004,9,76.35,0.1,SR01,R03
S00186,2022-10-17,C003,P002,8,45.59,0.15,SR02,R01
S00187,2020-04-05,C003,P003,7,12.88,0.1,SR02,R01
S00188,2024-10-23,C004,P003,9,55.67,0.0,SR02,R03
S00189,2021-04-29,C004,P003,3,76.37,0.15,SR01,R01
S00190,2023-12-01,C004,P001,4,97.91,0.05,SR01,R01
S00191,2020-08-18,C002,P002,7,13.33,0.05,SR03,R02
S00192,2022-01-18,C001,P002,6,58.59,0.05,SR03,R03
S00193,2024-08-05,C004,P002,2,50.49,0.15,SR01,R02
S00194,2023-04-09,C004,P001,2,31.82,0.05,SR03,R01
S00195,2021-06-24,C004,P002,7,67.4,0.15,SR03,R01
S00196,2022-11-25,C001,P004,9,24.73,0.15,SR02,R03
S00197,2021-06-08,C001,P002,9,35.55,0.0,SR01,R02
S00198,2023-03-29,C004,P002,7,80.36,0.0,SR02,R02
S00199,2024-09-18,C004,P002,8,51.44,0.0,SR01,R02
S00200,2023-06-20,C003,P001,3,99.43,0.0,SR01,R03
S00201,2023-01-14,C004,P004,1,44.78,0.0,SR02,R02
S00202,2024-12-24,C002,P004,7,51.69,0.05,SR01,R02
S00203,2021-07-31,C002,P003,8,37.02,0.05,SR02,R01
S00204,2021-11-12,C004,P003,2,31.27,0.05,SR02,R01
S00205,2021-07-10,C001,P004,9,93.01,0.0,SR01,R02
S00206,2024-05-16,C003,P002,4,77.39,0.1,SR01,R02
S00207,2022-10-09,C001,P002,9,40.01,0.05,SR02,R01
S00208,2021-10-07,C004,P002,3,73.01,0.05,SR03,R03
S00209,2022-03-06,C002,P001,8,96.92,0.1,SR03,R01
S00210,2022-11-17,C003,P002,2,16.66,0.0,SR01,R02
S00211,2024-07-01,C001,P001,3,33.81,0.15,SR01,R03
S00212,2024-04-28,C001,P004,1,28.05,0.1,SR03,R02
S00213,2023-09-25,C004,P002,5,88.28,0.1,SR01,R02
S00214,2024-12-26,C003,P002,4,26.13,0.05,SR01,R02
S00215,2023-09-16,C002,P003,1,37.73,0.05,SR03,R03
S00216,2024-07-21,C004,P004,9,58.95,0.0,SR01,R02
S00217,2024-03-09,C003,P002,6,65.9,0.15,SR03,R03
S00218,2023-10-03,C001,P001,6,82.74,0.15,SR03,R01
S00219,2024-02-05,C004,P004,2,46.66,0.1,SR03,R03
S00220,2023-06-08,C001,P003,7,58.08,0.0,SR01,R02
S00221,2020-07-08,C001,P004,9,96.89,0.15,SR02,R02
S00222,2023-06-02,C004,P001,6,36.76,0.1,SR02,R01
S00223,2023-11-09,C004,P003,8,32.33,0.05,SR02,R01
S00224,2023-11-01,C004,P001,5,73.95,0.15,SR01,R01
S00225,2023-07-30,C004,P004,2,79.4,0.1,SR01,R03
S00226,2021-09-24,C004,P003,4,47.33,0.15,SR01,R03
S00227,2021-09-19,C001,P001,1,29.17,0.0,SR01,R03
S00228,2022-08-30,C002,P004,1,80.1,0.1,SR02,R03
S00229,2024-11-03,C002,P001,6,70.34,0.0,SR03,R01
S00230,2023-07-06,C004,P002,2,88.86,0.1,SR01,R02
S00231,2023-10-14,C001,P004,6,85.99,0.05,SR01,R02
S00232,2021-12-10,C002,P003,1,28.47,0.15,SR01,R03
S00233,2024-01-19,C002,P003,3,84.91,0.05,SR03,R01
S00234,2023-12-05,C002,P002,9,25.77,0.0,SR02,R01
S00235,2021-10-10,C001,P001,2,87.73,0.15,SR01,R01
S00236,2020-11-13,C004,P001,8,79.33,0.05,SR02,R02
S00237,2024-08-27,C004,P003,6,61.29,0.1,SR01,R02
S00238,2023-06-02,C004,P001,6,67.8,0.1,SR02,R03
S00239,2023-06-11,C003,P004,7,19.37,0.05,SR01,R02
S00240,2021-11-14,C003,P004,5,13.59,0.15,SR02,R01
S00241,2021-10-25,C003,P003,4,39.76,0.0,SR01,R02
S00242,2023-10-29,C001,P004,6,83.93,0.1,SR01,R02
S00243,2024-08-22,C002,P003,8,51.92,0.0,SR02,R02
S00244,2024-06-19,C002,P001,4,30.11,0.15,SR02,R03
S00245,2024-02-04,C001,P001,5,85.11,0.15,SR03,R02
S00246,2023-06-10,C001,P001,7,30.58,0.1,SR03,R03
S00247,2024-09-11,C004,P002,6,83.39,0.0,SR03,R02
S00248,2023-02-10,C004,P003,4,50.77,0.15,SR03,R03
S00249,2024-02-29,C003,P004,4,51.71,0.0,SR02,R01
S00250,2021-03-17,C003,P001,4,34.54,0.1,SR03,R01
S00251,2021-07-17,C001,P002,1,91.02,0.1,SR01,R01
S00252,2023-07-15,C003,P004,5,17.99,0.15,SR02,R03
S00253,2024-03-13,C002,P004,8,23.0,0.15,SR01,R01
S00254,2023-11-10,C001,P004,7,67.23,0.0,SR03,R03
S00255,2023-11-11,C001,P001,5,86.51,0.15,SR03,R03
S00256,2023-02-10,C002,P004,3,18.59,0.1,SR03,R03
S00257,2024-06-24,C004,P003,1,76.04,0.15,SR02,R01
S00258,2024-07-06,C004,P002,7,76.83,0.05,SR01,R03
S00259,2022-08-09,C002,P004,3,62.34,0.1,SR01,R02
S00260,2023-01-09,C002,P004,4,53.81,0.0,SR02,R01
S00261,2021-11-29,C003,P003,5,38.9,0.15,SR03,R02
S00262,2020-04-22,C001,P004,8,41.63,0.15,SR03,R01
S00263,2020-01-02,C003,P001,7,70.7,0.1,SR02,R03
S00264,2021-10-03,C002,P001,9,15.88,0.1,SR01,R03
S00265,2020-08-07,C003,P001,3,62.64,0.0,SR01,R03
S00266,2024-05-08,C002,P004,1,35.09,0.1,SR01,R01
S00267,2022-05-04,C003,P002,1,51.99,0.0,SR01,R01
S00268,2024-10-25,C003,P002,1,60.31,0.15,SR03,R03
S00269,2023-06-02,C004,P004,2,89.71,0.0,SR03,R01
S00270,2021-01-19,C002,P002,2,62.12,0.0,SR02,R02
S00271,2023-11-27,C003,P002,7,30.44,0.0,SR02,R03
S00272,2024-07-19,C001,P004,9,17.15,0.15,SR02,R02
S00273,2023-02-27,C003,P001,8,66.43,0.05,SR03,R02
S00274,2022-12-12,C003,P004,4,59.05,0.05,SR03,R01
S00275,2024-09-03,C001,P001,2,70.46,0.0,SR03,R02
S00276,2021-12-30,C002,P001,3,51.35,0.1,SR02,R03
S00277,2024-08-22,C004,P002,5,84.26,0.05,SR03,R02
S00278,2024-09-29,C004,P002,9,92.82,0.15,SR01,R01
S00279,2023-12-10,C004,P001,8,13.6,0.0,SR03,R01
S00280,2020-09-03,C001,P001,3,76.97,0.05,SR01,R03
S00281,2022-04-15,C003,P002,9,13.16,0.15,SR01,R03
S00282,2024-01-02,C002,P003,3,50.06,0.0,SR01,R03
S00283,2020-07-21,C003,P001,8,51.54,0.05,SR03,R03
S00284,2023-04-22,C004,P001,1,72.66,0.0,SR02,R03
S00285,2020-05-02,C003,P001,4,41.72,0.05,SR01,R02
S00286,2021-02-04,C001,P002,4,83.88,0.05,SR01,R02
S00287,2022-02-05,C001,P004,6,40.86,0.1,SR03,R01
S00288,2020-10-20,C002,P001,2,40.83,0.05,SR03,R02
S00289,2020-10-06,C002,P001,7,30.05,0.1,SR01,R03
S00290,2022-06-02,C004,P001,5,71.55,0.15,SR02,R03
S00291,2024-06-21,C002,P004,6,16.89,0.05,SR03,R01
S00292,2020-07-16,C003,P004,6,42.67,0.0,SR01,R03
S00293,2022-09-08,C001,P001,6,34.02,0.1,SR02,R01
S00294,2024-03-14,C001,P001,8,30.64,0.05,SR03,R02
S00295,2022-01-21,C001,P003,4,15.49,0.1,SR02,R02
S00296,2020-05-23,C002,P004,8,27.13,0.0,SR01,R02
S00297,2021-08-31,C001,P003,9,50.16,0.0,SR02,R01
S00298,2023-05-09,C001,P001,4,55.34,0.0,SR01,R03
S00299,2023-02-21,C001,P001,1,34.26,0.15,SR03,R01
S00300,2020-07-05,C004,P001,3,68.52,0.15,SR01,R02
S00301,2023-09-11,C004,P001,1,40.22,0.0,SR01,R01
S00302,2021-04-08,C002,P002,7,43.05,0.15,SR03,R03
S00303,2023-10-04,C001,P002,1,80.44,0.15,SR01,R01
S00304,2024-11-29,C002,P002,4,59.68,0.15,SR02,R02
S00305,2021-10-21,C001,P003,1,95.79,0.15,SR03,R03
S00306,2022-02-02,C001,P004,2,42.34,0.15,SR02,R02
S00307,2022-08-12,C001,P001,1,84.51,0.15,SR03,R03
S00308,2021-02-06,C002,P004,5,76.45,0.0,SR01,R03
S00309,2023-10-01,C002,P002,7,90.12,0.15,SR02,R02
S00310,2024-03-14,C001,P001,3,96.11,0.15,SR03,R02
S00311,2020-05-26,C003,P001,8,10.69,0.1,SR02,R02
S00312,2023-03-17,C002,P003,5,17.95,0.1,SR03,R01
S00313,2022-05-13,C004,P004,5,70.69,0.15,SR03,R02
S00314,2024-09-30,C002,P003,5,45.12,0.05,SR02,R03
S00315,2021-05-03,C001,P002,8,83.72,0.05,SR02,R01
S00316,2022-07-17,C003,P004,2,11.08,0.15,SR02,R01
S00317,2024-07-21,C001,P002,2,82.63,0.0,SR02,R01
S00318,2021-07-04,C004,P003,8,22.17,0.0,SR03,R01
S00319,2020-12-03,C002,P003,9,36.12,0.1,SR02,R01
S00320,2022-05-21,C002,P001,2,97.22,0.0,SR02,R01
S00321,2021-10-02,C001,P004,4,14.64,0.0,SR02,R02
S00322,2024-12-07,C001,P004,8,41.41,0.0,SR02,R03
S00323,2021-04-17,C004,P001,2,17.61,0.15,SR02,R02
S00324,2020-05-30,C003,P004,4,86.82,0.15,SR02,R03
S00325,2023-12-09,C004,P002,1,73.27,0.05,SR01,R01
S00326,2023-08-14,C003,P002,2,82.03,0.1,SR01,R02
S00327,2024-06-22,C002,P003,7,57.46,0.05,SR03,R02
S00328,2020-09-19,C003,P002,1,42.19,0.0,SR02,R02
S00329,2024-11-22,C003,P004,1,10.2,0.0,SR02,R03
S00330,2020-05-23,C002,P001,2,35.01,0.05,SR03,R01
S00331,2020-12-11,C002,P003,4,56.31,0.05,SR02,R01
S00332,2021-09-15,C002,P001,7,69.79,0.15,SR02,R01
S00333,2022-10-13,C004,P003,4,30.6,0.15,SR02,R03
S00334,2024-05-14,C002,P003,5,22.5,0.1,SR01,R02
S00335,2022-05-30,C001,P001,4,28.15,0.15,SR02,R03
S00336,2020-01-02,C002,P002,4,41.87,0.0,SR01,R01
S00337,2022-06-15,C002,P002,9,23.35,0.0,SR02,R03
S00338,2023-08-20,C002,P002,6,24.11,0.05,SR02,R03
S00339,2020-09-10,C003,P002,3,13.94,0.1,SR03,R03
S00340,2024-08-02,C004,P001,6,87.11,0.15,SR03,R01
S00341,2021-03-28,C002,P004,7,29.78,0.1,SR02,R02
S00342,2022-11-26,C004,P003,7,83.97,0.0,SR02,R01
S00343,2023-03-29,C001,P001,8,49.45,0.0,SR02,R03
S00344,2022-10-11,C001,P002,4,66.92,0.15,SR01,R02
S00345,2020-01-09,C002,P002,1,16.81,0.15,SR02,R02
S00346,2023-06-10,C001,P001,6,62.52,0.15,SR03,R01
S00347,2023-01-27,C004,P003,8,36.1,0.05,SR01,R01
S00348,2024-08-09,C003,P001,5,18.57,0.0,SR02,R02
S00349,2022-03-26,C002,P001,3,91.74,0.05,SR01,R03
S00350,2020-07-26,C001,P004,4,64.33,0.0,SR01,R01
S00351,2023-02-28,C004,P001,8,31.75,0.15,SR01,R02
S00352,2021-02-07,C004,P004,6,47.77,0.0,SR01,R02
S00353,2020-05-31,C001,P003,5,42.12,0.0,SR02,R03
S00354,2020-02-23,C004,P001,9,73.05,0.1,SR03,R02
S00355,2023-02-17,C004,P001,3,64.67,0.0,SR01,R01
S00356,2024-08-23,C002,P002,7,11.78,0.0,SR03,R02
S00357,2021-09-19,C004,P001,9,27.8,0.1,SR01,R03
S00358,2021-08-09,C001,P002,4,53.03,0.15,SR03,R03
S00359,2024-07-06,C002,P002,3,50.09,0.1,SR01,R03
S00360,2023-12-14,C001,P002,1,56.5,0.15,SR01,R01
S00361,2023-12-16,C003,P003,9,74.33,0.15,SR02,R01
S00362,2020-04-13,C001,P004,1,71.38,0.15,SR02,R01
S00363,2020-09-10,C001,P002,2,43.55,0.0,SR01,R02
S00364,2023-06-04,C002,P001,9,88.98,0.1,SR03,R03
S00365,2023-02-09,C004,P001,5,15.66,0.1,SR02,R03
S00366,2021-05-24,C001,P002,4,62.61,0.1,SR02,R03
S00367,2024-02-05,C002,P002,9,95.47,0.1,SR02,R01
S00368,2020-04-08,C003,P001,9,59.42,0.05,SR02,R03
S00369,2020-06-01,C002,P002,2,50.96,0.0,SR01,R02
S00370,2022-07-02,C002,P004,3,22.05,0.05,SR03,R02
S00371,2022-05-27,C004,P004,3,82.92,0.0,SR02,R01
S00372,2020-12-03,C001,P003,5,43.64,0.1,SR02,R01
S00373,2024-09-25,C003,P002,3,73.11,0.05,SR03,R01
S00374,2022-04-01,C002,P003,6,27.78,0.15,SR02,R03
S00375,2023-04-01,C001,P003,2,13.77,0.1,SR03,R03
S00376,2024-10-09,C001,P003,6,37.49,0.1,SR01,R03
S00377,2022-08-14,C002,P002,6,35.33,0.15,SR02,R02
S00378,2024-08-31,C001,P003,2,88.61,0.1,SR03,R02
S00379,2020-06-09,C002,P004,6,87.82,0.0,SR02,R03
S00380,2024-05-22,C002,P003,6,58.05,0.1,SR01,R02
S00381,2022-03-11,C002,P004,6,11.71,0.0,SR03,R02
S00382,2021-02-01,C003,P004,5,30.55,0.0,SR03,R01
S00383,2023-07-24,C002,P002,7,67.51,0.1,SR03,R03
S00384,2022-03-26,C004,P003,5,19.13,0.15,SR02,R02
S00385,2024-03-07,C001,P002,1,73.06,0.0,SR03,R02
S00386,2023-11-16,C003,P004,9,11.08,0.05,SR03,R03
S00387,2023-03-04,C001,P001,3,71.43,0.0,SR03,R03
S00388,2023-05-03,C003,P003,2,86.01,0.15,SR01,R01
S00389,2021-02-04,C004,P002,6,52.23,0.1,SR03,R01
S00390,2021-10-01,C003,P001,8,84.62,0.15,SR03,R03
S00391,2022-11-22,C003,P003,2,80.34,0.15,SR03,R02
S00392,2021-11-18,C003,P003,4,70.43,0.1,SR01,R01
S00393,2021-04-04,C001,P002,2,50.06,0.05,SR03,R03
S00394,2022-08-12,C002,P001,9,34.47,0.05,SR02,R01
S00395,2021-04-14,C001,P002,2,87.48,0.0,SR03,R02
S00396,2023-10-30,C002,P003,2,68.37,0.0,SR02,R02
S00397,2022-11-11,C001,P003,5,81.82,0.05,SR01,R03
S00398,2022-01-19,C004,P004,5,59.68,0.1,SR01,R01
S00399,2024-08-20,C004,P003,7,25.47,0.15,SR03,R02
S00400,2020-02-07,C003,P003,1,98.15,0.1,SR03,R02
S00401,2020-08-17,C004,P001,2,26.45,0.15,SR01,R01
S00402,2023-10-20,C003,P001,6,92.01,0.15,SR01,R03
S00403,2021-07-16,C002,P004,2,28.73,0.05,SR01,R01
S00404,2021-03-13,C004,P004,4,43.64,0.05,SR02,R01
S00405,2024-12-04,C002,P004,6,49.61,0.1,SR02,R01
S00406,2023-07-30,C001,P002,7,92.92,0.15,SR03,R01
S00407,2020-01-27,C002,P002,5,89.94,0.1,SR02,R01
S00408,2020-08-13,C001,P004,8,84.09,0.0,SR01,R02
S00409,2023-07-24,C002,P002,6,43.9,0.05,SR03,R03
